날짜,종가,시가,고가,저가,거래량,변동 %
2021- 11- 01,579.0,568.0,582.0,565.25,197.41K,1.89%
2021- 05- 17,652.5,642.25,656.75,633.0,185.35K,-4.74%
2024- 08- 28,390.75,392.25,394.0,388.75,270.54K,-0.51%
2022- 09- 27,667.5,666.25,678.0,666.25,163.17K,0.19%
2022- 08- 24,665.75,659.75,675.5,655.75,76.02K,0.87%
2024- 02- 20,418.75,416.25,421.5,414.75,217.84K,0.54%
2022- 10- 14,689.75,697.0,699.5,688.5,108.82K,-1.15%
2022- 07- 22,564.25,575.0,582.75,561.5,95.96K,-2.00%
2022- 06- 29,770.25,758.25,780.0,755.5,63.70K,1.42%
2023- 01- 05,652.75,654.5,657.75,648.5,138.83K,-0.15%
2021- 11- 16,571.0,576.0,577.5,570.0,137.34K,-0.95%
2025- 03- 13,453.5,450.0,459.25,450.0,0.10K,1.06%
2024- 10- 07,426.0,424.0,427.0,421.25,161.44K,0.29%
2023- 12- 28,474.25,476.0,478.75,474.0,99.40K,-0.47%
2024- 04- 04,435.25,432.25,436.0,429.75,153.81K,0.81%
2022- 04- 06,756.5,759.75,761.5,750.25,110.92K,-0.43%
2021- 01- 25,511.5,500.0,515.5,492.5,264.76K,2.20%
2024- 07- 09,394.0,393.5,398.75,391.75,158.71K,0.19%
2024- 10- 23,419.0,416.0,420.0,414.0,246.01K,0.60%
2021- 02- 01,549.25,549.0,555.75,539.0,219.07K,0.41%
2022- 06- 07,757.0,739.0,765.0,735.0,227.58K,1.95%
2022- 11- 10,653.25,664.5,667.25,652.75,229.08K,-1.69%
2024- 07- 23,417.25,413.75,422.5,411.75,175.65K,0.54%
2024- 01- 30,447.75,439.75,448.25,436.5,194.90K,1.70%
2021- 10- 22,538.0,533.0,540.0,532.0,109.35K,1.08%
2022- 01- 05,602.25,608.5,609.75,601.25,148.50K,-1.19%
2021- 12- 08,584.75,585.0,589.0,584.0,2.37K,-0.26%
2021- 04- 06,554.25,553.75,561.5,552.25,134.85K,0.18%
2022- 03- 28,748.5,749.0,750.25,740.5,89.18K,-0.73%
2023- 03- 22,633.5,631.25,636.0,623.25,154.75K,0.56%
2023- 10- 17,489.0,490.0,492.75,487.75,102.03K,-0.20%
2025- 01- 31,482.0,488.25,488.75,479.25,318.48K,-1.68%
2023- 05- 18,555.25,561.25,561.75,547.0,181.02K,-1.11%
2024- 08- 23,391.0,393.25,396.25,390.75,190.43K,-0.64%
2021- 11- 15,576.5,576.25,578.75,569.75,128.06K,-0.13%
2024- 08- 05,407.0,402.25,407.75,396.0,172.74K,0.93%
2025- 03- 14,445.5,443.25,443.25,443.25,0.03K,-1.76%
2023- 03- 30,649.5,649.75,654.75,648.0,119.49K,-0.15%
2025- 01- 28,485.25,482.25,489.25,481.0,225.86K,0.67%
2024- 07- 08,393.25,409.5,410.0,391.25,183.88K,-4.20%
2021- 06- 14,659.25,675.75,676.25,653.0,159.57K,-3.69%
2023- 03- 24,643.0,631.0,645.0,627.5,191.26K,1.78%
2022- 03- 01,739.75,699.75,744.25,699.75,7.26K,6.06%
2022- 02- 18,654.25,648.5,658.0,647.0,154.05K,0.65%
2023- 05- 12,633.25,634.75,638.75,623.5,0.24K,0.12%
2024- 02- 26,407.0,399.75,407.75,394.5,227.18K,1.81%
2021- 10- 21,532.25,539.0,540.0,530.75,119.39K,-1.30%
2022- 04- 11,764.5,767.0,778.0,762.0,170.23K,-0.55%
2024- 05- 16,457.0,462.25,465.25,456.0,200.53K,-1.19%
2025- 02- 28,469.5,481.25,483.75,469.0,287.88K,-2.39%
2021- 09- 16,529.5,533.5,537.5,528.0,118.91K,-0.75%
2023- 07- 17,499.25,512.0,519.75,496.25,87.97K,-16.76%
2021- 02- 09,556.25,565.0,574.25,545.0,390.74K,-1.33%
2023- 10- 27,480.75,479.25,484.0,478.25,126.30K,0.31%
2024- 05- 10,455.75,443.25,455.5,443.25,0.32K,2.94%
2025- 02- 12,490.25,483.75,492.25,481.5,271.39K,1.29%
2022- 08- 15,626.75,630.5,635.25,616.5,56.71K,-2.03%
2021- 01- 22,500.5,522.5,522.75,499.25,289.55K,-4.53%
2023- 10- 13,493.25,495.0,498.75,490.5,138.23K,-0.55%
2023- 05- 30,594.0,603.75,605.0,591.5,176.21K,-1.66%
2021- 01- 21,524.25,521.0,531.5,519.25,169.57K,0.43%
2022- 07- 20,592.25,595.5,600.5,589.0,76.18K,-0.75%
2021- 05- 28,656.75,666.25,672.75,651.25,150.33K,-1.17%
2021- 04- 20,606.5,593.0,611.75,592.75,180.19K,2.45%
2021- 08- 11,556.25,548.75,558.5,548.25,184.26K,1.27%
2024- 07- 02,408.0,408.0,413.75,405.75,121.58K,0.25%
2021- 05- 21,659.5,664.75,666.75,653.5,109.62K,-0.75%
2021- 05- 07,772.75,763.25,775.0,755.0,0.68K,1.74%
2023- 04- 11,651.0,653.5,657.75,646.75,200.26K,-0.46%
2021- 01- 20,522.0,525.0,526.5,512.75,217.78K,-0.76%
2021- 06- 30,720.0,694.0,743.25,675.5,18.23K,3.67%
2022- 12- 20,652.0,647.75,654.25,646.75,91.46K,0.73%
